open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,quote_asset_volume,ignore
2024-09-05 00:00:00+00:00,10.33,10.39,9.92,10.02,47726.26,2024-09-05 23:59:59.999,483009.9079,2487,23383.61,236610.0664,,
2024-09-06 00:00:00+00:00,10.03,10.17,9.29,9.58,85468.18,2024-09-06 23:59:59.999,832087.6791,3929,33211.0,324867.4838,,
2024-09-07 00:00:00+00:00,9.57,10.16,9.56,10.03,37088.19,2024-09-07 23:59:59.999,367731.325,1387,17694.38,175355.4373,,
2024-09-08 00:00:00+00:00,10.04,10.45,9.99,10.36,33016.5,2024-09-08 23:59:59.999,338016.9623,1790,16297.59,167003.0263,,
2024-09-09 00:00:00+00:00,10.38,10.88,10.28,10.54,63040.08,2024-09-09 23:59:59.999,667129.3559,4064,31822.09,337122.8522,,
2024-09-10 00:00:00+00:00,10.55,10.73,10.34,10.59,40510.67,2024-09-10 23:59:59.999,426872.3976,2394,22403.74,236331.3443,,
2024-09-11 00:00:00+00:00,10.59,10.59,10.18,10.4,45545.26,2024-09-11 23:59:59.999,473359.2148,2168,23469.89,243910.8635,,
2024-09-12 00:00:00+00:00,10.4,10.8,10.39,10.79,39905.6,2024-09-12 23:59:59.999,423942.812,3020,21699.71,230698.8128,,
2024-09-13 00:00:00+00:00,10.79,11.56,10.64,11.46,50016.9,2024-09-13 23:59:59.999,559027.6191,4160,25257.02,282050.429,,
2024-09-14 00:00:00+00:00,11.46,11.47,11.22,11.31,26902.59,2024-09-14 23:59:59.999,305363.6198,1330,12460.97,141404.3166,,
2024-09-15 00:00:00+00:00,11.31,11.35,10.8,10.81,28727.91,2024-09-15 23:59:59.999,320130.1729,2711,11617.21,129824.5523,,
2024-09-16 00:00:00+00:00,10.79,10.82,10.41,10.55,47011.9,2024-09-16 23:59:59.999,499207.2321,2430,22241.93,235751.9992,,
2024-09-17 00:00:00+00:00,10.56,10.92,10.45,10.64,32328.95,2024-09-17 23:59:59.999,344821.1403,1379,15652.88,167117.9357,,
2024-09-18 00:00:00+00:00,10.61,10.89,10.29,10.89,43494.76,2024-09-18 23:59:59.999,456176.1523,2120,21779.91,228670.4946,,
2024-09-19 00:00:00+00:00,10.9,11.39,10.9,11.19,46870.9,2024-09-19 23:59:59.999,522242.9947,3258,25156.32,280366.3414,,
2024-09-20 00:00:00+00:00,11.21,11.74,11.13,11.44,30786.96,2024-09-20 23:59:59.999,355046.4762,1968,17034.83,196530.7595,,
2024-09-21 00:00:00+00:00,11.41,11.54,10.4,11.51,36219.67,2024-09-21 23:59:59.999,410150.6837,1855,16187.3,183908.3507,,
2024-09-22 00:00:00+00:00,11.53,11.53,10.82,11.13,35196.27,2024-09-22 23:59:59.999,392665.8684,1898,12399.0,138734.2944,,
2024-09-23 00:00:00+00:00,11.13,11.61,10.94,11.41,28554.89,2024-09-23 23:59:59.999,325641.9811,2848,13739.06,156816.6354,,
2024-09-24 00:00:00+00:00,11.41,12.22,11.21,12.15,48827.48,2024-09-24 23:59:59.999,570234.5494,4316,26316.75,307852.5064,,
2024-09-25 00:00:00+00:00,12.15,12.56,12.05,12.11,47508.06,2024-09-25 23:59:59.999,582364.1286,3599,25002.94,307564.8454,,
2024-09-26 00:00:00+00:00,12.12,12.75,11.87,12.57,80880.24,2024-09-26 23:59:59.999,999441.6619,4197,42417.46,523478.8114,,
2024-09-27 00:00:00+00:00,12.56,12.9,12.46,12.68,65675.22,2024-09-27 23:59:59.999,835424.0187,3687,34506.57,439693.5648,,
2024-09-28 00:00:00+00:00,12.67,12.98,12.37,12.94,58200.38,2024-09-28 23:59:59.999,741536.9082,3739,24734.93,315864.8733,,
2024-09-29 00:00:00+00:00,12.96,12.98,12.45,12.47,47257.14,2024-09-29 23:59:59.999,596211.3268,4973,21756.14,274790.4311,,
2024-09-30 00:00:00+00:00,12.45,12.46,11.76,11.86,62506.96,2024-09-30 23:59:59.999,756157.6599,3036,28503.83,344917.8894,,
2024-10-01 00:00:00+00:00,11.84,12.26,10.81,11.02,76462.82,2024-10-01 23:59:59.999,879500.0748,4833,35453.81,407331.7439,,
2024-10-02 00:00:00+00:00,11.0,11.31,10.46,10.67,78024.85,2024-10-02 23:59:59.999,847530.0022,3364,38724.18,420745.8465,,
2024-10-03 00:00:00+00:00,10.68,10.87,10.33,10.66,47855.47,2024-10-03 23:59:59.999,506486.3283,2391,25465.15,269188.6116,,
2024-10-04 00:00:00+00:00,10.67,11.24,10.6,11.08,47923.67,2024-10-04 23:59:59.999,525970.7074,2045,24535.68,269517.5306,,
2024-10-05 00:00:00+00:00,11.08,11.38,10.99,11.27,29670.71,2024-10-05 23:59:59.999,333140.0853,1248,13426.88,150862.193,,
2024-10-06 00:00:00+00:00,11.22,11.4,11.16,11.28,33169.94,2024-10-06 23:59:59.999,373724.0822,1308,15296.95,172450.3091,,
2024-10-07 00:00:00+00:00,11.27,11.74,11.07,11.15,55486.63,2024-10-07 23:59:59.999,634244.1618,2965,23169.87,265495.3928,,
2024-10-08 00:00:00+00:00,11.17,11.28,10.75,10.82,36853.77,2024-10-08 23:59:59.999,405117.0542,2058,18376.13,202300.7666,,
2024-10-09 00:00:00+00:00,10.85,10.96,10.41,10.53,45097.99,2024-10-09 23:59:59.999,482212.8024,2333,24898.09,266957.5031,,
2024-10-10 00:00:00+00:00,10.54,10.73,10.24,10.55,69397.54,2024-10-10 23:59:59.999,730838.409,1859,35124.08,370489.4482,,
2024-10-11 00:00:00+00:00,10.53,11.03,10.5,10.9,31350.38,2024-10-11 23:59:59.999,338689.0336,1868,16117.3,173996.0282,,
2024-10-12 00:00:00+00:00,10.91,11.21,10.8,11.0,45064.49,2024-10-12 23:59:59.999,496782.0619,2042,16523.21,182494.8941,,
2024-10-13 00:00:00+00:00,11.01,11.07,10.61,10.75,35327.66,2024-10-13 23:59:59.999,381361.6691,2138,12560.2,136130.4041,,
2024-10-14 00:00:00+00:00,10.74,11.35,10.61,11.26,39057.77,2024-10-14 23:59:59.999,433721.7179,2657,20842.59,231392.5994,,
2024-10-15 00:00:00+00:00,11.29,11.69,10.94,11.46,58869.14,2024-10-15 23:59:59.999,670096.091,3684,29688.27,337935.1943,,
2024-10-16 00:00:00+00:00,11.46,11.53,11.07,11.24,29035.82,2024-10-16 23:59:59.999,327777.4297,1934,15626.84,176430.7087,,
2024-10-17 00:00:00+00:00,11.27,11.35,10.86,11.03,21989.79,2024-10-17 23:59:59.999,242873.6088,1497,9604.52,106191.321,,
2024-10-18 00:00:00+00:00,11.02,11.5,10.98,11.47,29017.68,2024-10-18 23:59:59.999,329485.0172,2051,17579.55,199949.2697,,
2024-10-19 00:00:00+00:00,11.49,11.6,11.3,11.43,20360.45,2024-10-19 23:59:59.999,232134.3283,1074,10959.08,124913.5306,,
2024-10-20 00:00:00+00:00,11.44,12.03,11.28,11.97,39588.13,2024-10-20 23:59:59.999,464841.0731,2651,17493.91,205030.4414,,
2024-10-21 00:00:00+00:00,11.97,12.02,11.54,11.72,32253.63,2024-10-21 23:59:59.999,379440.1176,2738,16181.82,190475.448,,
2024-10-22 00:00:00+00:00,11.72,12.33,11.59,11.97,76704.32,2024-10-22 23:59:59.999,925776.8749,6615,38776.58,468488.9763,,
2024-10-23 00:00:00+00:00,11.97,12.0,11.01,11.32,59567.42,2024-10-23 23:59:59.999,676907.9342,3305,21294.49,241965.3859,,
2024-10-24 00:00:00+00:00,11.32,11.63,11.21,11.61,33153.52,2024-10-24 23:59:59.999,378395.6204,1863,16039.43,183082.375,,
2024-10-25 00:00:00+00:00,11.62,12.09,10.8,11.12,86735.3,2024-10-25 23:59:59.999,1002494.0368,7201,43980.74,512337.2306,,
2024-10-26 00:00:00+00:00,11.09,11.37,10.81,11.01,57805.35,2024-10-26 23:59:59.999,640478.089,4855,31481.32,349303.0676,,
2024-10-27 00:00:00+00:00,10.97,11.16,10.83,10.97,27459.35,2024-10-27 23:59:59.999,301472.7432,1708,14400.24,158141.689,,
2024-10-28 00:00:00+00:00,10.96,11.25,10.71,11.19,76242.45,2024-10-28 23:59:59.999,838026.6185,4198,43959.05,483577.6207,,
2024-10-29 00:00:00+00:00,11.19,11.8,11.15,11.8,68031.18,2024-10-29 23:59:59.999,786413.6785,3008,38027.96,439493.804,,
2024-10-30 00:00:00+00:00,11.8,12.45,11.66,12.39,88858.88,2024-10-30 23:59:59.999,1078486.4933,4595,43582.6,528532.5716,,
2024-10-31 00:00:00+00:00,12.45,12.46,11.31,11.42,58201.01,2024-10-31 23:59:59.999,688003.5634,3441,24199.4,286031.1431,,
2024-11-01 00:00:00+00:00,11.41,11.72,11.13,11.24,72130.44,2024-11-01 23:59:59.999,820286.4205,4261,34498.69,392615.9104,,
2024-11-02 00:00:00+00:00,11.24,11.4,11.07,11.17,41854.75,2024-11-02 23:59:59.999,468237.0307,3547,21787.09,243674.2334,,
2024-11-03 00:00:00+00:00,11.19,11.22,10.51,10.76,61918.12,2024-11-03 23:59:59.999,670605.1083,5448,27456.77,297457.45,,
2024-11-04 00:00:00+00:00,10.75,10.99,10.06,10.23,70104.71,2024-11-04 23:59:59.999,732722.0448,4544,37399.03,392045.3279,,
2024-11-05 00:00:00+00:00,10.25,10.94,10.19,10.84,60846.13,2024-11-05 23:59:59.999,648384.0315,4496,31790.32,338688.6825,,
2024-11-06 00:00:00+00:00,10.82,12.32,10.79,12.2,185164.63,2024-11-06 23:59:59.999,2180903.9835,9971,98277.53,1156923.298,,
2024-11-07 00:00:00+00:00,12.2,12.72,12.08,12.6,132955.79,2024-11-07 23:59:59.999,1654990.252,7060,64260.36,799360.8279,,
2024-11-08 00:00:00+00:00,12.64,13.76,12.53,13.71,132341.14,2024-11-08 23:59:59.999,1745166.5425,9669,71443.61,943455.1231,,
2024-11-09 00:00:00+00:00,13.67,13.84,13.29,13.78,106954.63,2024-11-09 23:59:59.999,1449536.3949,6620,54226.84,735805.4144,,
2024-11-10 00:00:00+00:00,13.77,14.9,13.62,14.27,230835.91,2024-11-10 23:59:59.999,3325373.58628,17471,118232.33,1703532.99728,,
2024-11-11 00:00:00+00:00,14.24,14.96,13.38,14.93,208988.46,2024-11-11 23:59:59.999,2985618.3757,17374,107186.84,1535408.5625,,
2024-11-12 00:00:00+00:00,14.92,15.36,13.51,13.99,237873.02,2024-11-12 23:59:59.999,3416672.3252,20581,111262.9,1601555.9552,,
2024-11-13 00:00:00+00:00,13.96,14.41,13.02,13.5,196638.29,2024-11-13 23:59:59.999,2707033.3878,17127,76677.26,1053805.6637,,
2024-11-14 00:00:00+00:00,13.51,13.87,12.8,13.0,113830.75,2024-11-14 23:59:59.999,1511476.5965,11625,55559.26,740333.3854,,
2024-11-15 00:00:00+00:00,12.99,13.95,12.73,13.84,102336.53,2024-11-15 23:59:59.999,1376120.7541,10463,51505.67,693181.7368,,
2024-11-16 00:00:00+00:00,13.85,14.85,13.74,14.53,144737.24,2024-11-16 23:59:59.999,2074550.3277,19817,81036.25,1161458.2441,,
2024-11-17 00:00:00+00:00,14.53,14.9,13.53,13.78,110049.16,2024-11-17 23:59:59.999,1555313.124,10243,52787.17,746757.0431,,
2024-11-18 00:00:00+00:00,13.8,15.99,13.75,15.27,203155.01,2024-11-18 23:59:59.999,3039134.50275,18373,96759.17,1447178.60005,,
2024-11-19 00:00:00+00:00,15.28,15.43,14.39,14.65,122657.18,2024-11-19 23:59:59.999,1820210.5379,9941,58472.95,868159.7986,,
2024-11-20 00:00:00+00:00,14.64,15.34,14.01,14.26,135900.49,2024-11-20 23:59:59.999,1984324.3576,12660,59547.24,869644.9576,,
2024-11-21 00:00:00+00:00,14.24,15.47,13.84,14.93,161592.19,2024-11-21 23:59:59.999,2393118.0081,14452,76260.89,1131249.0103,,
2024-11-22 00:00:00+00:00,14.92,16.68,14.74,16.57,253703.85,2024-11-22 23:59:59.999,3911369.10879,24835,140027.23,2157920.94649,,
2024-11-23 00:00:00+00:00,16.58,18.41,16.33,17.41,312577.02,2024-11-23 23:59:59.999,5397193.82378,32828,150329.46,2596743.81998,,
2024-11-24 00:00:00+00:00,17.4,18.36,16.13,17.91,274304.68,2024-11-24 23:59:59.999,4741750.0428,31612,131593.99,2276569.0816,,
2024-11-25 00:00:00+00:00,17.93,19.06,17.14,17.34,286429.23,2024-11-25 23:59:59.999,5223556.00525,31888,145686.55,2658163.23005,,
2024-11-26 00:00:00+00:00,17.33,17.84,16.18,17.35,174654.86,2024-11-26 23:59:59.999,2976488.4104,26186,83467.58,1423866.5298,,
2024-11-27 00:00:00+00:00,17.34,19.02,16.96,18.67,228089.87,2024-11-27 23:59:59.999,4140105.1216,24456,113975.97,2069724.2816,,
2024-11-28 00:00:00+00:00,18.68,18.72,17.49,17.94,183216.93,2024-11-28 23:59:59.999,3295600.3199,18607,84957.89,1528649.3907,,
2024-11-29 00:00:00+00:00,17.95,18.42,17.54,18.27,114914.66,2024-11-29 23:59:59.999,2073468.8243,13590,59730.27,1078672.922,,
2024-11-30 00:00:00+00:00,18.27,19.45,17.95,19.02,222837.03,2024-11-30 23:59:59.999,4193010.18382,16858,118574.73,2234565.74862,,
2024-12-01 00:00:00+00:00,19.02,19.12,18.45,18.94,174127.45,2024-12-01 23:59:59.999,3263554.2837,13761,82099.14,1540306.3209,,
2024-12-02 00:00:00+00:00,18.94,26.89,18.6,25.22,1004432.84,2024-12-02 23:59:59.999,22302638.65181,93409,604589.83,13359374.19211,,
2024-12-03 00:00:00+00:00,25.23,26.24,22.55,24.11,589756.94,2024-12-03 23:59:59.999,14436688.6726,74373,301822.46,7410867.5217,,
2024-12-04 00:00:00+00:00,24.12,26.53,22.99,24.11,377261.52,2024-12-04 23:59:59.999,9347669.2145,50852,175877.07,4365839.5037,,
2024-12-05 00:00:00+00:00,24.13,24.85,21.7,23.17,263451.11,2024-12-05 23:59:59.999,6277590.1912,38208,127912.56,3045334.4339,,
2024-12-06 00:00:00+00:00,23.18,25.97,22.76,25.92,305368.75,2024-12-06 23:59:59.999,7426025.4659,34031,158073.71,3846873.651,,
2024-12-07 00:00:00+00:00,25.89,26.88,24.47,24.82,209754.64,2024-12-07 23:59:59.999,5387754.0901,22446,114474.66,2947258.1142,,
2024-12-08 00:00:00+00:00,24.81,27.43,24.71,26.13,304821.74,2024-12-08 23:59:59.999,7995253.3941,24778,117660.29,3075574.023,,
2024-12-09 00:00:00+00:00,26.16,27.36,19.4,22.29,579590.33,2024-12-09 23:59:59.999,13784890.1733,49621,271547.5,6486034.2911,,
