open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,quote_asset_volume,ignore
2024-09-05 00:00:00+00:00,7.35e-06,7.41e-06,7e-06,7.11e-06,516781431932.0,2024-09-05 23:59:59.999,3719924.47355531,16304,244959485559.0,1762330.435098,,
2024-09-06 00:00:00+00:00,7.1e-06,7.27e-06,6.33e-06,6.64e-06,728182289463.0,2024-09-06 23:59:59.999,5022940.39417127,26061,335283203256.0,2311474.4823126,,
2024-09-07 00:00:00+00:00,6.64e-06,7.02e-06,6.64e-06,6.77e-06,557480940424.0,2024-09-07 23:59:59.999,3804240.54424607,13873,266361118313.0,1817420.61580309,,
2024-09-08 00:00:00+00:00,6.77e-06,7.4e-06,6.71e-06,7.07e-06,716899619769.0,2024-09-08 23:59:59.999,4984382.85171359,24158,355527617130.0,2470257.74921115,,
2024-09-09 00:00:00+00:00,7.07e-06,7.6e-06,6.94e-06,7.39e-06,942098929453.0,2024-09-09 23:59:59.999,6765477.75476222,33268,448784915556.0,3220836.70678944,,
2024-09-10 00:00:00+00:00,7.39e-06,7.56e-06,7.29e-06,7.46e-06,628500977467.0,2024-09-10 23:59:59.999,4665800.57832799,22993,305272774571.0,2266825.13293796,,
2024-09-11 00:00:00+00:00,7.46e-06,7.46e-06,6.97e-06,7.24e-06,819287260213.0,2024-09-11 23:59:59.999,5891889.39834206,24145,397592852684.0,2859712.6339966,,
2024-09-12 00:00:00+00:00,7.24e-06,7.49e-06,7.22e-06,7.42e-06,529442713484.0,2024-09-12 23:59:59.999,3891842.8882473,21134,262273389458.0,1928495.94293433,,
2024-09-13 00:00:00+00:00,7.41e-06,8.06e-06,7.31e-06,7.91e-06,751277715005.0,2024-09-13 23:59:59.999,5733088.48283457,28895,348893186174.0,2660111.99921654,,
2024-09-14 00:00:00+00:00,7.92e-06,8.11e-06,7.61e-06,7.76e-06,435186921064.0,2024-09-14 23:59:59.999,3405199.44997543,19430,229334827871.0,1800029.5753021,,
2024-09-15 00:00:00+00:00,7.76e-06,7.82e-06,7.3e-06,7.36e-06,429632876443.0,2024-09-15 23:59:59.999,3264351.43931111,19621,198294323504.0,1506413.64635391,,
2024-09-16 00:00:00+00:00,7.35e-06,7.39e-06,7.07e-06,7.2e-06,847482157915.0,2024-09-16 23:59:59.999,6109979.8297224,18803,403833092642.0,2910095.7605516,,
2024-09-17 00:00:00+00:00,7.19e-06,7.65e-06,7.11e-06,7.32e-06,940131263377.0,2024-09-17 23:59:59.999,6933424.42468011,25088,470641973563.0,3472474.15826806,,
