open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,quote_asset_volume,ignore
2024-09-05 00:00:00+00:00,133.62,135.5,127.88,129.39,169751.056,2024-09-05 23:59:59.999,22315174.82789,79082,86115.416,11322182.40236,,
2024-09-06 00:00:00+00:00,129.36,134.27,120.44,125.0,426075.102,2024-09-06 23:59:59.999,54270123.59842,105163,202850.64,25874341.47481,,
2024-09-07 00:00:00+00:00,125.01,129.48,124.11,127.69,203366.335,2024-09-07 23:59:59.999,25870522.28817,52311,101864.734,12961123.56494,,
2024-09-08 00:00:00+00:00,127.71,131.71,126.62,130.14,166732.5,2024-09-08 23:59:59.999,21516236.94998,48213,81823.402,10557429.8545,,
2024-09-09 00:00:00+00:00,130.15,137.08,126.96,135.13,268130.631,2024-09-09 23:59:59.999,35233315.38025,75445,137077.144,18032369.45104,,
2024-09-10 00:00:00+00:00,135.1,137.99,132.55,135.57,186377.275,2024-09-10 23:59:59.999,25171966.70284,70851,91191.995,12318973.23142,,
2024-09-11 00:00:00+00:00,135.66,135.9,128.19,132.44,235969.237,2024-09-11 23:59:59.999,31143868.4733,77101,110942.855,14647580.60539,,
2024-09-12 00:00:00+00:00,132.39,136.76,132.39,136.06,168441.215,2024-09-12 23:59:59.999,22733512.7463,66648,88162.91,11897076.85719,,
2024-09-13 00:00:00+00:00,136.06,139.93,131.71,139.13,181266.723,2024-09-13 23:59:59.999,24611156.54659,57738,87855.275,11929448.3662,,
2024-09-14 00:00:00+00:00,139.13,139.86,135.65,137.19,80103.487,2024-09-14 23:59:59.999,11016786.97088,32788,39397.439,5418637.30644,,
2024-09-15 00:00:00+00:00,137.18,137.99,130.47,131.39,118069.206,2024-09-15 23:59:59.999,15891564.52618,53279,52641.68,7098167.79471,,
2024-09-16 00:00:00+00:00,131.39,132.38,128.91,131.5,147425.512,2024-09-16 23:59:59.999,19283067.1502,41188,71026.97,9294335.40724,,
2024-09-17 00:00:00+00:00,131.46,135.55,130.05,131.56,137148.026,2024-09-17 23:59:59.999,18206780.95845,36008,65641.522,8718353.966,,
2024-09-18 00:00:00+00:00,131.55,134.45,127.08,134.34,251845.472,2024-09-18 23:59:59.999,32747626.07295,78695,122956.281,15994270.66116,,
2024-09-19 00:00:00+00:00,134.38,144.07,134.35,142.9,323618.821,2024-09-19 23:59:59.999,45311384.37964,71429,156998.323,21963470.09564,,
2024-09-20 00:00:00+00:00,142.91,152.43,141.21,146.69,332744.091,2024-09-20 23:59:59.999,49278903.94232,67329,166228.173,24606850.28484,,
2024-09-21 00:00:00+00:00,146.69,149.84,144.63,149.5,116247.236,2024-09-21 23:59:59.999,17088225.4591,24232,60640.017,8910116.5009,,
