open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,quote_asset_volume,ignore
2024-09-03 20:00:00+00:00,130.98,131.55,127.16,127.55,42300.638,2024-09-03 23:59:59.999,5480617.2117,7748,19783.752,2564588.50752,,
2024-09-04 00:00:00+00:00,127.53,128.84,122.61,127.69,70515.232,2024-09-04 03:59:59.999,8877852.60404,14385,35832.224,4514461.36878,,
2024-09-04 04:00:00+00:00,127.68,131.4,126.57,130.29,40250.997,2024-09-04 07:59:59.999,5172667.25402,11317,22306.897,2865867.06569,,
2024-09-04 08:00:00+00:00,130.31,130.66,128.11,128.41,37328.433,2024-09-04 11:59:59.999,4835441.38606,10095,16753.578,2170379.42251,,
2024-09-04 12:00:00+00:00,128.41,134.12,127.86,133.84,80237.837,2024-09-04 15:59:59.999,10508036.86888,23674,38730.359,5073799.71166,,
2024-09-04 16:00:00+00:00,133.8,134.98,132.6,133.2,40549.247,2024-09-04 19:59:59.999,5413953.7896,10315,17622.054,2353385.50119,,
2024-09-04 20:00:00+00:00,133.2,134.65,132.91,133.65,16572.862,2024-09-04 23:59:59.999,2216793.2642,3372,8055.321,1077460.63054,,
2024-09-05 00:00:00+00:00,133.62,134.35,131.27,131.58,16285.75,2024-09-05 03:59:59.999,2163597.93448,4570,6649.414,884277.33929,,
2024-09-05 04:00:00+00:00,131.54,134.24,130.82,133.07,25546.59,2024-09-05 07:59:59.999,3384945.95414,11750,13083.835,1733544.52504,,
2024-09-05 08:00:00+00:00,133.04,133.83,131.71,132.77,17427.347,2024-09-05 11:59:59.999,2310918.86391,8198,8815.326,1168906.50079,,
2024-09-05 12:00:00+00:00,132.82,135.5,130.16,130.6,46176.255,2024-09-05 15:59:59.999,6134244.97456,27459,24125.745,3206915.9114,,
2024-09-05 16:00:00+00:00,130.61,131.1,127.88,128.42,39328.847,2024-09-05 19:59:59.999,5098180.56186,19968,19575.234,2539780.86027,,
2024-09-05 20:00:00+00:00,128.4,129.86,128.13,129.39,24986.267,2024-09-05 23:59:59.999,3223286.53894,7137,13865.862,1788757.26557,,
2024-09-06 00:00:00+00:00,129.36,131.58,128.63,130.69,21757.213,2024-09-06 03:59:59.999,2833099.38066,4409,10881.385,1416990.82279,,
2024-09-06 04:00:00+00:00,130.69,131.15,127.29,128.05,37930.021,2024-09-06 07:59:59.999,4891122.33337,14750,17073.918,2202693.33414,,
2024-09-06 08:00:00+00:00,128.04,131.03,127.99,130.22,39481.7,2024-09-06 11:59:59.999,5115841.0217,12038,21180.958,2744768.00904,,
2024-09-06 12:00:00+00:00,130.22,134.27,126.84,128.01,119918.026,2024-09-06 15:59:59.999,15656821.26164,36422,58035.79,7579911.73476,,
2024-09-06 16:00:00+00:00,128.0,128.25,123.76,125.03,104399.045,2024-09-06 19:59:59.999,13143354.62063,19356,50742.626,6391436.9309,,
2024-09-06 20:00:00+00:00,125.02,125.87,120.44,125.0,102589.097,2024-09-06 23:59:59.999,12629884.98042,18188,44935.963,5538540.64318,,
2024-09-07 00:00:00+00:00,125.01,125.7,124.11,125.13,15886.603,2024-09-07 03:59:59.999,1986059.30644,2937,7802.881,975587.48524,,
2024-09-07 04:00:00+00:00,125.22,128.44,125.08,127.62,53507.038,2024-09-07 07:59:59.999,6793996.44437,16131,27571.66,3501263.97584,,
